"id","partName","partDescription","partCode","partMake","partModel","partLastPrice","partAccount","partChargeDepartment","partNotes","partBarcode","partInventoryCode","partCategory_id"
"206","کولر a۳۲ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"207","کولر a33 تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"208","کولر a۳۵ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"209","کولر a۳۶ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"210","کولر a۳۹ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"211","کولر a۴۸ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"212","کولر a۴۹ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"213","کولر a۵۰ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"214","کولر a۷۳ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"215","کولر a۷۴ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"216","کولر b۱۱۲ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"217","کولر b۲۹ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"218","کولر b۳۷ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"219","کولر b۴۱ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"220","کولر b۴۲ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"221","کولر b۴۴ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"222","کولر b۵۰ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"223","کولر b۷۰ تسمه نمره ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
